"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"agravar";1;1;1;0,024;0,017
"vínculo";1;0,026;0,021;1;1
"situação_de_risco";1;1;0;1;1
"preliminar";1;1;0;0,056;1
"possibilidade";1;1;1;0;0,547
"origem";0,001;1;1;1;1
"contexto";1;0;1;1;1
"artigo";0;1;1;1;1
"aplicação";0,064;1;1;0;1
"apelante";1;0,11;0,365;0,095;1
"agravante";1;0,179;1;1;0
"absoluto";0;1;0,6;1;1
"violência";0,509;0,031;1;1;1
"verificar";1;1;0;0,138;1
"público";0,261;0,463;1;1;1
"pretensão";1;1;1;1;0,148
"juízo";1;0,881;1;0;1
"estatuto_da_criança_e_do_adolescente";0,509;1;1;1;0,183
"encontrar";1;1;1;0,588;0,447
"citação";1;1;1;0;1
"biológico";1;1;0;1;0,096
"bem";0,262;1;0,624;1;0,943
"social";1;0,289;0,988;1;0,249
"salvo";0,756;0,2;1;1;0,895
"restar";1;0,289;0,104;1;1
"proteção_integral";0;1;1;1;1
"pai";1;0,744;0,988;0,954;0,682
"elemento";1;1;1;1;0
"descabimento";1;1;1;0,383;0,008
"apresentar";1;0,005;0,867;0,834;1
"sociedade";0;1;1;1;1
"rejeitar";1;1;0;0,571;1
"reforma";1;1;1;1;0
"quando";1;0,903;0,6;0,014;1
"prioridade";0;1;1;1;1
"precedente";1;1;0,713;0,002;1
"pleito";1;1;1;1;0
"paterno";1;1;1;1;0
"opressão";0,173;0,067;1;1;1
"julgar";1;1;1;0;1
"jovem";0;1;1;1;1
"inviabilidade";1;1;0,155;1;0,096
"imediato";0,191;1;1;0,002;1
"família_natural";0,191;1;0,155;1;0,815
"exploração";0,362;0,115;1;1;1
"discriminação";0,952;0,049;1;1;1
"determinar";1;1;1;0,012;0,058
"determinado";1;1;1;0;1
"desacolhimento";1;1;1;1;0
"crueldade";0,362;0,115;1;1;1
"provimento";1;0;1;1;1
"nascimento";1;1;0;1;1
"momento";1;0,198;1;1;0,031
"inserção";1;1;0,001;0,012;1
"edital";1;1;0,487;0,024;1
"dar";1;0,002;1;1;1
"considerar";0,657;0,067;1;1;1
"afetivo";1;1;0,001;0,383;1
"abandono";1;1;0;1;0,682
"unânime";1;0;1;1;1
"tentativa";1;0,603;0,064;0,834;1
"relação";0,756;0,932;0,713;0,692;1
"razão";0,657;0,33;0,6;1;1
"prova";1;1;1;0,834;0
"proteger";1;0,33;1;1;0,005
"possível";0,049;0,552;1;1;1
"fato";1;1;0;1;1
"acolhido";1;1;0,6;1;0,055
"vulnerabilidade";1;0,33;1;0,571;1
"visitação";1;1;1;1;0
"técnica";1;0,019;1;1;1
"realizar";1;1;0,487;0,024;1
"provisório";1;1;1;0;1
"nulidade";1;1;0,487;0,024;1
"impossibilidade";1;1;0,221;1;0,102
"falta";1;0,002;1;1;1
"especial";1;1;0,006;1;1
"equipa";0,798;0,002;1;1;1
"devidamente";1;0,903;0,6;0,13;1
"desenvolvimento";0,362;0,552;1;1;1
"decorrência";1;1;0;1;1
"confirmar";1;1;0;1;1
"concreto";1;1;0,737;0;1
"autorizar";1;1;1;0,883;0,002
"ausência";1;0,369;1;1;0,04
"ausente";1;1;0,195;1;0,04
"ambiente";1;0,211;1;0,435;1
"reunir";1;0,733;1;0,073;1
"recorrente";1;0,067;1;1;0,291
"questão";1;0,676;1;1;0,063
"possuir";1;0,115;1;0,302;1
"observar";0,101;1;1;0,435;1
"neto";1;0,903;1;1;0,005
"negar";1;0;1;1;1
"ministério";0,362;0,552;1;1;1
"maior";1;0,211;0,082;1;1
"atendimento";0,11;0,2;1;1;1
"assim";1;0;1;1;1
"apelação";1;1;0,093;0,085;1
"ainda";1;0,552;1;0,302;1
"tio";1;1;0,322;0,034;1
"também";0,952;0,002;1;1;1
"risco";1;1;1;0,302;0,509
"retorno";1;1;1;0,302;0,008
"processo";1;1;0;1;1
"pretendente";1;1;0,002;1;1
"presente";1;1;1;0,034;1
"preconizar";0;1;1;1;1
"parental";1;1;0,46;0,005;1
"mínimo";0,509;1;1;0,073;1
"modo";0;1;1;1;1
"mesmo";1;0,932;0,713;0,692;0,895
"menina";1;0,031;1;1;0,684
"melhor";0,034;0,676;1;1;1
"laudo";1;0,552;1;0,302;0,509
"irmão";1;0,211;0,46;1;1
"histórico";0,952;0,369;0,907;1;1
"evidenciar";0,362;0,552;1;0,302;1
"droga";1;0,676;0,487;0,469;1
"curador";1;1;0;0,883;1
"contato";1;0,552;1;1;0,098
"civil";0,756;1;0,093;1;0,895
"cabimento";1;1;1;0,435;0,001
"assumir";1;1;0,46;1;0,183
"seio";0;1;1;1;1
"residir";1;1;0,195;0,181;1
"psicológico";1;0,013;1;1;0,895
"próprio";0,756;0,932;1;1;0,178
"protetivas";1;1;1;0,001;1
"perda";1;0,115;1;1;0,509
"núcleo";0,952;1;0,195;0,883;1
"novo";1;1;0,907;1;0,04
"mérito";1;1;1;0;1
"meio";1;1;0,002;1;1
"longo";1;0;1;1;1
"justificar";1;0,049;0,907;1;1
"institucional";1;1;1;1;0
"inserir";1;1;0;1;1
"guardião";1;0,552;0,002;1;1
"embora";0,002;0,552;1;1;1
"criar";0,002;1;1;0,302;1
"cpc";1;1;1;0,024;0,643
"constatar";1;0,115;1;1;0,098
"atualmente";1;0,049;0,907;1;1
"apelo";1;1;0;1;1
"acercar";1;0,2;1;1;0,178
"único";1;1;0,013;0,883;1
"visar";0,522;1;0,487;0,469;1
"tutelar";1;0,002;1;0,883;1
"trato";1;1;0;1;1
"tenro";0,018;1;0,195;1;1
"suspenso";1;0,932;1;0,692;0,178
"superar";1;1;1;1;0,001
"suficiente";1;1;1;1;0
"restabelecimento";0,756;1;1;1;0,011
"relatório";1;0;1;1;1
"recomendar";0,11;0,932;1;1;0,895
"permitir";0,11;0,932;1;0,692;1
"norteador";0;1;1;1;1
"mau";1;1;0;1;1
"instituição";0,224;1;0,907;1;1
"inexistência";1;1;0;1;1
"indicar";1;1;1;1;0,002
"inclusive";1;0,073;0,487;1;1
"ignorar";0,224;1;1;1;0,04
"grave";0,952;0,369;0,907;1;1
"filial";1;0,369;1;1;0,04
"excepcional";0,018;1;1;0,181;1
"episódio";1;0,002;1;1;1
"emocional";1;0,676;1;0,469;0,643
"efeito";1;0,676;1;1;0,063
"educado";0;1;1;1;1
"deferir";1;1;1;0,883;0,04
"convívio";1;0,002;1;1;1
"contar";1;0,013;1;0,692;1
"conflito";1;0,369;1;0,181;1
"cna";0,018;1;1;0,181;1
"casal";1;0,073;1;0,469;1
"até";1;1;1;1;0,002
"assunto";0,952;1;0,195;1;1
"aproximação";1;0,932;1;1;0,011
"adequado";0,952;1;1;0;1
"ademais";1;0,676;0,027;1;1
"vista";1;0,932;1;1;0,011
"vir";1;0,013;1;1;0,895
"violação";1;0,676;0,027;1;1
"vinculação";1;1;0,093;0,692;0,895
"tutela";0,11;1;1;0,692;0,895
"transitar";0,522;1;0,487;0,469;1
"termo";0,11;1;1;0,085;1
"tampouco";1;0,676;0,487;0,469;1
"suspender";0,756;1;1;1;0,011
"sofrer";1;0,2;0,093;1;1
"sentido";0,756;1;1;1;0,011
"sempre";1;1;1;1;0
"ré";1;0,073;0,487;1;1
"retornar";0,11;0,932;1;1;0,895
"referência";0,11;1;0,093;1;1
"rede";1;0,676;0,027;1;1
"quo";1;1;1;0;1
"pátrio";1;0,676;0,487;1;0,643
"programa";1;0,932;1;1;0,011
"produzir";1;1;1;0,085;0,178
"procedimento";1;0,932;1;0,085;0,895
"primordialmente";0,034;0,676;1;1;1
"postular";1;0,932;0,713;0,692;0,895
"posto";1;1;0;1;1
"período";0,756;0,013;1;1;1
"objectivo";0,034;1;1;1;0,643
"norma";0,756;1;0,003;1;1
"necessário";0,522;0,676;1;1;0,643
"necessidade";1;0,932;0,003;1;1
"narrar";1;0,676;1;0,469;0,643
"mês";1;0,2;0,713;1;0,895
"menos";1;0;1;1;1
"menino";0,11;0,932;0,713;1;1
"local";1;1;0,487;0,469;0,643
"legal";1;0,932;0,093;0,692;1
"lado";1;0,932;1;1;0,011
"junto";0,034;0,676;1;1;1
"infância";0,004;0,932;1;1;1
"inexistir";1;1;1;1;0,001
"indício";0,004;1;1;1;0,895
"indeferir";1;0,676;1;0,469;0,643
"grau";1;0,932;0,093;1;0,895
"físico";1;1;1;0,024;0,643
"formação";1;0,932;1;0,085;0,895
"extenso";0;1;1;1;1
"existência";1;1;0,027;1;0,643
"exame";1;1;1;0,002;0,895
"entanto";1;0,013;1;1;0,895
"doutrina";0;1;1;1;1
"diverso";1;0,073;1;1;0,643
"devido";1;0,073;1;1;0,643
"determinação";0,522;1;1;0,469;0,643
"destituir";1;1;0,027;0,469;1
"desenvolver";1;0,932;0,003;1;1
"depois";1;0,676;0,487;0,469;1
"consolidado";1;1;0;1;1
"conselho";1;0;1;1;1
"comprovar";1;1;0,093;0,085;1
"comarca";1;0,676;1;0,024;1
"colocar";1;0;1;1;1
"benefício";1;0,013;1;1;0,895
"avaliação";1;0,013;0,713;1;1
"atual";1;0;1;1;1
"aptar";1;1;0,713;0,002;1
"apenas";1;0,932;0,713;0,085;1
"afastamento";1;1;0,713;0,692;0,178
"viver";1;0,002;1;1;1
"usuário";1;0,676;0,487;0,469;1
"tramitação";1;0,002;1;1;1
"solução";0,522;0,073;1;1;1
"sogro";1;0,002;1;1;1
"rol";1;1;1;0;1
"restauração";1;1;1;1;0,001
"respeitado";0;1;1;1;1
"requerido";1;1;0;1;1
"reintegração";0;1;1;1;1
"redução";0,522;1;1;0,469;0,643
"recomendado";1;1;0,487;1;0,063
"psíquico";1;1;1;0,024;0,643
"prover";0,522;1;1;1;0,063
"promover";1;1;1;0,469;0,063
"priorizam";0;1;1;1;1
"prioritário";0,034;1;0,487;1;1
"preservação";0;1;1;1;1
"ppa";1;1;1;0,024;0,643
"posteriormente";1;0,676;0,487;0,469;1
"posterior";1;1;0,487;0,024;1
"pessoa";1;0,073;1;0,469;1
"perspectiva";0,034;1;1;0,469;1
"perpetrar";1;1;0,487;1;0,063
"permanecer";0,522;0,073;1;1;1
"passo";1;1;0;1;1
"parente";1;0,676;0,027;1;1
"parcialmente";1;1;1;1;0,001
"olvidar";1;1;0;1;1
"observância";0,522;1;0,487;0,469;1
"nortear";1;1;0;1;1
"nomear";1;1;0,027;0,469;1
"nascer";1;0,073;1;0,469;1
"nacional";0,522;1;1;0,024;1
"mudança";1;0,676;1;0,469;0,643
"motivo";1;1;1;0;1
"manifestar";1;0,002;1;1;1
"liça";1;1;0;1;1
"interessado";1;0,676;0,487;0,469;1
"integrante";1;1;0;1;1
"indeferimento";1;1;1;1;0,001
"inclusão";1;1;1;0,469;0,063
"inc";0,034;0,676;1;1;1
"habilitação";0;1;1;1;1
"habilitado";1;1;0,487;0,024;1
"fundamental";0,522;1;0,027;1;1
"expor";0,522;0,676;1;1;0,643
"estímulo";0,522;0,676;0,487;1;1
"estágio";1;0,676;1;1;0,063
"estudo";1;0,676;0,487;1;0,643
"especialmente";1;0,676;1;0,024;1
"drástico";1;1;1;0,024;0,643
"ditame";0;1;1;1;1
"desejo";1;0,073;1;1;0,643
"denotar";1;0,676;0,487;1;0,643
"decorrente";1;1;0,487;1;0,063
"dano";0,522;1;0,027;1;1
"cotejo";1;1;0;1;1
"comportamento";1;0,676;0,487;1;0,643
"causar";1;1;1;1;0,001
"busca";1;0,073;1;1;0,643
"auxílio";1;0,676;0,027;1;1
"autorização";1;1;1;0,024;0,643
"autor";1;1;0;1;1
"atuante";1;1;0,027;0,469;1
"atinente";1;1;0;1;1
"apto";1;0,676;0,487;1;0,643
"alto";1;0,073;1;1;0,643
"alimento";0,522;1;1;0,469;0,643
"ajuizado";1;1;1;0,024;0,643
"afinidade";1;1;0,027;1;0,643
"afetividade";1;1;0,027;1;0,643
"acordo";0,522;0,676;1;1;0,643
"abuso";1;0,676;0,487;1;0,643
"*cod_10778083";0,26;1;1;0,225;1
"*ori_outra";1;0,356;1;1;0,001
"*tipo_proc_agravo_de_instrumento";0,361;0,229;1;0,863;0
"*ano_2024";1;0,002;1;1;0,16
"*rel_ricardo_moreira_lins_pastl";0,26;1;1;0,225;1
"*cod_10782026";1;0,2;1;1;0,178
"*rel_eduardo_augusto_dias_bainy";1;0,369;1;0,883;0,335
"*cod_10782763";1;1;1;0,03;1
"*rel_glaucia_dipp_dreher";1;1;1;0,03;1
"*cod_10726012";1;1;1;0,03;1
"*cod_10672236";1;1;1;1;0,061
"*ori_porto_alegre";1;0,33;1;0,808;0,266
"*rel_luiz_augusto_guimaraes_de_souza";1;1;1;1;0,061
"*cod_10611160";1;1;1;0,225;0,344
"*rel_roberto_arriada_lorea";1;1;0,46;0,435;0,183
"*cod_10530261";0,034;1;0,487;1;1
"*tipo_proc_apelação_cível";1;1;0;1;1
"*rel_luiz_felipe_brasil_santos";0,343;0;1;1;1
"*cod_10529965";1;0,067;1;1;0,291
"*rel_joão_ricardo_dos_santos_costa";1;1;1;1;0,026
"*cod_10497754";1;1;1;1;0,061
"*rel_vera_lucia_deboni";1;1;1;1;0,008
"*cod_10494898";1;1;1;1;0,061
"*ori_santa_maria";1;1;1;1;0,061
"*rel_carlos_eduardo_zietlow_duro";0,522;0,676;1;1;0,643
"*cod_10442229";0,522;1;1;1;0,063
"*rel_jane_maria_köhler_vidal";0,522;1;1;1;0,063
"*cod_10408854";1;0,676;1;0,469;0,643
"*cod_10328738";1;1;0,032;1;1
"*ori_canguçu";1;0,2;0,713;1;0,895
"*cod_10330142";1;1;1;0,225;0,344
"*ori_caxias_do_sul";1;0,369;1;0,883;0,335
"*cod_10306088";1;1;1;1;0,061
"*rel_sandra_brisolara_medeiros";1;1;0;1;1
"*cod_10292350";1;0,073;1;1;0,643
"*rel_josé_antônio_daltoe_cezar";0,323;1;1;0,002;0,717
"*cod_10235923";1;0;1;1;1
"*cod_10236451";1;0,002;1;0,706;1
"*cod_10141060";1;1;1;0,03;1
"*ano_2023";0,648;1;1;1;0,007
"*cod_10128733";1;1;0,487;1;0,063
"*cod_10069883";1;1;1;1;1
"*ori_santa_cruz_do_sul";1;1;1;1;1
"*rel_leandro_figueira_martins";1;1;0,032;1;1
"*cod_10063251";1;1;1;0,225;0,344
"*ori_passo_fundo";1;1;0,002;1;1
"*cod_10027967";1;1;1;1;1
"*cod_10028643";1;1;1;0,03;1
"*cod_10020598";1;1;0,032;1;1
"*cod_10014210";0,756;1;1;0,692;0,178
"*ori_panambi";0,756;1;1;0,692;0,178
"*cod_9973961";0,26;1;1;1;0,344
"*rel_mauro_caum_gonçalves";0,399;0,134;1;1;1
"*cod_9969615";0,003;1;1;1;1
"*ori_rio_grande";0,003;1;1;1;1
"*cod_9976720";1;0,676;1;1;0,063
"*ori_camaquã";0,952;1;1;1;0,04
"*cod_9969333";1;1;1;1;0,008
"*cod_9967228";0,26;0,368;1;1;1
"*cod_9463805";1;1;1;1;0,061
"*cod_9460452";0,26;1;1;1;0,344
"*ori_tapes";0,26;1;1;1;0,344
"*cod_9450979";0,522;0,676;1;0,469;1
"*ori_sapiranga";0,522;0,676;1;0,469;1
"*cod_9423376";1;1;0,032;1;1
"*ori_osório";0,049;0,552;1;1;1
"*cod_9423804";1;0,368;1;1;0,344
"*ori_sapucaia_do_sul";1;1;1;0,034;1
"*cod_9386069";0,11;0,932;0,713;1;1
"*ori_sobradinho";0,11;0,932;0,713;1;1
"*ano_2022";0,381;0,23;1;0,561;1
"*cod_9373502";1;1;0,237;1;0,344
"*cod_9351585";0,26;1;1;1;0,344
"*cod_9255266";0,756;0,2;0,713;1;1
"*ori_santa_rosa";0,756;0,2;0,713;1;1
"*cod_9255526";0,26;0,368;1;1;1
"*ori_são_leopoldo";0,26;0,368;1;1;1
"*cod_9994594";0,756;0,932;1;0,085;1
"*ori_vacaria";0,756;0,932;1;0,085;1
"*cod_9170892";1;1;1;1;1
"*tipo_proc_agravo_de_execução_penal";1;1;1;1;1
"*rel_manuel_josé_martinez_lucas";1;1;1;1;1
"*cod_9983435";1;1;1;0,03;1
"*ori_farroupilha";0,696;1;0,216;1;0,943
"*cod_9148558";0,26;0,368;1;1;1
"*ori_novo_hamburgo";0,26;0,368;1;1;1
"*cod_9148912";1;1;1;0;1
"*ori_erechim";1;1;1;0;1
"*tipo_proc_conflito_de_competência";1;1;1;0;1
"*cod_9071992";1;0,068;1;1;1
"*ori_gravataí";1;1;0;1;1
"*cod_9072001";1;0,073;1;1;0,643
"*cod_9063519";1;1;1;1;1
"*cod_8996420";0,26;1;1;1;0,344
"*ano_2021";0,224;1;1;1;0,335
"*cod_8928855";0,26;0,368;1;1;1
"*ori_santa_vitória_do_palmar";0,26;0,368;1;1;1
"*cod_8912163";1;1;1;1;0,061
"*ori_júlio_de_castilhos";1;1;1;1;0,061
"*cod_8738328";1;1;1;0,03;1
"*ori_santa_bárbara_do_sul";1;1;1;0,03;1
"*ano_2020";1;1;1;0,003;1
"*rel_rosana_broglio_garbin";1;1;1;0,03;1
"*cod_8694393";0,034;1;1;0,469;1
"*ori_pelotas";0,261;1;0,221;0,706;1
"*cod_8694939";0,26;0,368;1;1;1
"*ori_viamão";0,046;0,463;1;1;1
"*cod_8640812";1;1;1;1;0,002
"*ori_charqueadas";1;1;1;1;0,002
"*cod_8597353";1;1;0,713;0,002;1
"*ori_canoas";1;1;0,015;0,001;1
"*cod_8598548";1;1;0,713;0,002;1
"*cod_8239373";1;0,01;1;1;1
"*ano_2019";1;0,01;1;1;1
"*cod_8054835";0,034;1;1;0,469;1
"*ano_2018";0,236;1;1;0,426;1
"*cod_8019192";0,756;1;1;1;0,011
"*cod_7956993";0,756;0,2;1;1;0,895
"*cod_7863519";1;1;0,039;1;1
"*cod_7758537";0,756;1;1;0,002;1
"*cod_7410007";1;1;0;1;1
"*ano_2017";1;1;0;1;1
"*rel_liselena_schifino_robles_ribeiro";1;1;0;1;1
"*cod_7252894";1;1;1;1;1
"*rel_rui_portanova";1;1;1;1;0
"*cod_7249092";1;1;0;1;1
"*cod_7106842";0,11;0,932;1;1;0,895
"*ori_dom_pedrito";0,11;0,932;1;1;0,895
"*ano_2016";0,9;1;0,038;0,761;1
"*cod_7018216";1;1;0;1;1
"*ori_bom_jesus";1;1;0;1;1
"*cod_6955172";0,756;1;1;0,085;0,895
"*ori_frederico_westphalen";0,756;1;1;0,085;0,895
"*cod_6875010";1;1;0,003;0,692;1
"*cod_6828774";0,756;0,2;1;0,692;1
"*ori_santana_do_livramento";0,756;0,2;1;0,692;1
"*cod_6557060";1;0,013;1;0,692;1
"*ori_planalto";1;0,013;1;0,692;1
"*ano_2015";1;0,463;0,035;1;1
"*cod_6530077";0,952;1;0;1;1
"*ori_alvorada";0,952;1;0;1;1
"*cod_5765606";0;1;1;1;1
"*tipo_proc_reexame_necessário";0;1;1;1;1
"*ano_2014";0;1;1;1;1
"*cod_5596873";0,657;0,903;0,016;1;1
"*ano_2013";1;1;0,003;1;0,671
"*cod_5404834";1;1;1;1;0
"*cod_5293097";1;1;0;1;1
