;x
com as;5
medidas protetivas;5
determinou o;5
institucional da;5
os elementos;5
guarda da;5
histórico de;5
da sua;5
por ora;5
e não;5
de guarda;5
crianças em;5
negligência e;5
para a;5
das visitas;5
menor foi;5
a proteção;5
que foi;5
agravo_de_instrumento família;5
institucional de;5
laudo social;5
da destituição;5
que as;5
de vulnerabilidade;5
para adoção;5
julgamento monocrático;5
maus tratos;5
foi acolhida;5
guarda do;5
família de;5
aos autos;5
de vínculos;5
criança que;5
fim de;5
exercer a;5
a apelante;5
de nulidade;5
da negligência;5
desacolhimento institucional;5
criança previsto;5
de atendimento;5
o princípio;5
inexistência de;5
relação ao;5
de crianças;5
de drogas;5
sua colocação;5
tenra idade;5
que por;5
crianças e;5
e adolescentes;5
em seu;5
devem ser;5
válida a;5
inserção em;5
o menor;5
manter a;5
se encontra;5
situação_de_risco desde;5
sentença confirmada;5
fato em;5
por meio;5
meio de;5
de colocação;4
familiar é;4
no momento;4
as visitas;4
juízo de;4
não é;4
a pretensão;4
menor em;4
a medida;4
de risco;4
núcleo familiar;4
as tentativas;4
o retorno;4
melhor atende;4
institucional pretensão;4
juízo a;4
a quo;4
determinou a;4
da ré;4
da prevalência;4
nos termos;4
termos do;4
do art;4
no seio;4
seio de;4
em ambiente;4
de medidas;4
da menina;4
exercer os;4
da filha;4
de saúde;4
ao menos;4
pais e;4
do artigo;4
existência de;4
interno em;4
em agravo_de_instrumento;4
institucional pleito;4
avô materno;4
tratando se;4
se de;4
o recurso;4
precedentes do;4
do tjrs;4
suspensão das;4
o interesse;4
em situação;4
e dos;4
restabelecimento da;4
sentença mantida;4
mantida o;4
a menor;4
o genitor;4
desenvolvimento saudável;4
da recorrente;4
pela rede;4
rede de;4
de um;4
agravo_de_instrumento possibilidade;4
proteção à;4
de visitas;4
com efeito;4
da relatora;4
a protegida;4
mantida caso;4
interesses da;4
guarda pela;4
pela genitora;4
ao longo;4
para que;4
a fim;4
perda do;4
para exercer;4
de suspensão;4
a adoção;4
é de;4
familiar pedido;4
o pedido;4
negligência familiar;4
para o;4
no entanto;4
acolhido institucionalmente;4
de se;4
opressão contexto;4
em acolhimento;4
agravo_de_instrumento medida_de_proteção;4
origem o;4
aos interesses;4
familiar agravo;4
ambos os;4
dos direitos;4
conselho tutelar;4
doutrina da;4
de manutenção;4
os menores;4
situações de;4
negligência da;4
de inserção;4
adoção possibilidade;4
foi acolhido;4
drogas e;4
de aplicação;4
é a;4
no eca;4
determinado pelo;4
a colocação;4
guarda de;4
princípio norteador;4
norteador da;4
de assegurar;4
assegurar o;4
nos autos;4
de condições;4
genitora que;4
cerceamento de;4
inviabilidade de;4
os esforços;4
verificada situação_de_risco;4
protetiva em;4
sua adoção;4
manteve convivência;4
pátrio poder;4
processo de;4
poder parental;3
não reúne;3
institucionalmente desde;3
que em;3
determinação de;3
agravo_de_instrumento estatuto;3
adolescente medida_de_proteção;3
que suspendeu;3
pela equipe;3
visitas dos;3
se ignora;3
vínculos familiares;3
fato isolado;3
e está;3
da equipe;3
estágio de;3
infante e;3
o contexto;3
adolescente agravo_de_instrumento;3
da situação;3
caso em;3
tia materna;3
a inclusão;3
adoção e;3
criança ou;3
até o;3
o momento;3
do protegido;3
que já;3
eca medida_de_proteção;3
elementos suficientes;3
