;x
situação de risco desde;5
situação de fato em;5
de fato em que;5
deve ser mantida a;4
e do adolescente medida;4
decisão que determinou a;4
da prevalência da família;4
seio de sua família;4
pedido de reforma da;4
em agravo de instrumento;4
acolhimento institucional pleito de;4
de proteção de acolhimento;4
proteção de acolhimento institucional;4
agravo de instrumento possibilidade;4
de instrumento possibilidade de;4
instrumento possibilidade de julgamento;4
do poder familiar da;4
crueldade e opressão contexto;4
e opressão contexto em;4
opressão contexto em que;4
de instrumento medida de;4
instrumento medida de proteção;4
decisão da origem o;4
da origem o art;4
origem o art da;4
a convivência familiar agravo;4
doutrina da proteção integral;4
aplicação de medida de;4
direito de convivência familiar;4
condições de exercer o;4
de exercer o poder;4
prevalência do melhor interesse;4
a citação por edital;4
prevalência do interesse do;4
do interesse do menor;4
verificada situação de risco;4
por meio de medida;4
com a mãe biológica;4
assumir os cuidados com;3
os cuidados com os;3
agravo de instrumento estatuto;3
de instrumento estatuto da;3
instrumento estatuto da criança;3
do adolescente medida de;3
adolescente medida de proteção;3
a convivência familiar é;3
a decisão que suspendeu;3
do adolescente agravo de;3
adolescente agravo de instrumento;3
instrumento ação de destituição;3
menor em situação de;3
medida de acolhimento institucional;3
de instrumento eca medida;3
instrumento eca medida de;3
eca medida de proteção;3
a reforma da decisão;3
proteção integral e prioritária;3
e do adolescente ser;3
do adolescente ser criado;3
adolescente ser criado e;3
ser criado e educado;3
no seio de sua;3
assegurada a convivência familiar;3
aplicação de medidas de;3
de medidas de proteção;3
da decisão que determinou;3
à criança e ao;3
criança e ao adolescente;3
agravo interno em agravo;3
interno em agravo de;3
a julgamento pelo órgão;3
julgamento pelo órgão colegiado;3
qualquer prejuízo que se;3
prejuízo que se possa;3
que se possa cogitar;3
precedentes do tjrs agravo;3
direito à convivência familiar;3
de restabelecimento da convivência;3
conforme o disposto no;3
que a menor foi;3
medida protetiva acolhimento institucional;3
da destituição do poder;3
apelação cível estatuto da;3
cível estatuto da criança;3
destituídos do poder familiar;3
poder familiar dos genitores;3
possibilidade de julgamento monocrático;3
de julgamento monocrático quando;3
julgamento monocrático quando em;3
monocrático quando em conformidade;3
quando em conformidade com;3
em conformidade com o;3
conformidade com o entendimento;3
com o entendimento da;3
o entendimento da câmara;3
decisão da relatora chancelada;3
decisão mantida caso dos;3
mantida caso dos autos;3
apelação cível eca destituição;3
cível eca destituição do;3
a destituição do poder;3
perda do poder familiar;3
medida protetiva de acolhimento;3
protetiva de acolhimento institucional;3
em família substituta e;3
lado da família biológica;3
qualquer indício de que;3
ação de destituição de;3
de destituição de poder;3
destituição de poder familiar;3
da criança em família;3
criança em família substituta;3
poder familiar pedido de;3
da decisão que deferiu;3
em razão da negligência;3
razão da negligência familiar;3
manutenção da decisão agravada;3
da constituição federal é;3
constituição federal é dever;3
federal é dever da;3
que melhor atende aos;3
descabimento manutenção da decisão;3
ditames do eca priorizam;3
do eca priorizam a;3
eca priorizam a proteção;3
priorizam a proteção à;3
a proteção à infância;3
do poder familiar com;3
em família substituta respeitada;3
família substituta respeitada a;3
substituta respeitada a habilitação;3
respeitada a habilitação pelo;3
a habilitação pelo cna;3
habilitação pelo cna direito;3
pelo cna direito da;3
cna direito da criança;3
da constituição federal que;3
constituição federal que assegura;3
federal que assegura a;3
que assegura a convivência;3
assegura a convivência familiar;3
convivência familiar agravo desprovido;3
princípio da proteção integral;3
interesse da criança que;3
de afinidade e afetividade;3
afinidade e afetividade entre;3
ação para aplicação de;3
inserção imediata no rol;3
imediata no rol de;3
no rol de crianças;3
rol de crianças aptas;3
de crianças aptas para;3
crianças aptas para adoção;3
aptas para adoção possibilidade;3
exercer o poder familiar;3
ação de aplicação de;3
de aplicação de medida;3
do poder familiar pedido;3
nos termos do artigo;3
termos do artigo do;3
pela rede de apoio;3
de acolhimento institucional pleito;3
acolhimento institucional e suspensão;3
institucional e suspensão do;3
e suspensão do poder;3
do poder familiar determinado;3
poder familiar determinado pelo;3
familiar determinado pelo juízo;3
de colocação em família;3
o direito de convivência;3
de convivência familiar visto;3
convivência familiar visto ser;3
familiar visto ser um;3
visto ser um princípio;3
ser um princípio norteador;3
um princípio norteador da;3
princípio norteador da proteção;3
norteador da proteção integral;3
previsto no eca em;3
no eca em seu;3
devem ser observados primordialmente;3
com o objetivo de;3
o objetivo de assegurar;3
objetivo de assegurar o;3
de assegurar o seu;3
assegurar o seu bem;3
o seu bem estar;3
sua colocação em família;3
da genitora em relação;3
da doutrina da proteção;3
de convivência e de;3
convivência e de vínculos;3
caso concreto em que;3
de risco desde o;3
risco desde o nascimento;3
apelação cível processual civil;3
cível processual civil citação;3
processual civil citação por;3
civil citação por edital;3
é válida a citação;3
válida a citação realizada;3
a citação realizada por;3
citação realizada por edital;3
realizada por edital tendo;3
por edital tendo sido;3
edital tendo sido envidados;3
tendo sido envidados todos;3
sido envidados todos os;3
envidados todos os esforços;3
todos os esforços possíveis;3
os esforços possíveis para;3
esforços possíveis para localização;3
possíveis para localização da;3
para localização da demandada;3
localização da demandada não;3
da demandada não há;3
demandada não há cogitar;3
não há cogitar cerceamento;3
há cogitar cerceamento de;3
nomeada curadora especial atuante;3
curadora especial atuante no;3
especial atuante no feito;3
do poder familiar prevalência;3
poder familiar prevalência do;3
familiar prevalência do interesse;3
impossibilidade de manter a;3
de manter a guarda;3
manter a guarda com;3
a guarda com a;3
guarda com a família;3
com a família extensa;3
medida protetiva de inserção;3
protetiva de inserção em;3
de inserção em família;3
em família substituta consolidada;3
família substituta consolidada sentença;3
substituta consolidada sentença confirmada;3
consolidada sentença confirmada em;3
sentença confirmada em cotejo;3
confirmada em cotejo com;3
em cotejo com o;3
cotejo com o princípio;3
com o princípio da;3
o princípio da prevalência;3
princípio da prevalência da;3
prevalência da família natural;3
da família natural não;3
família natural não há;3
natural não há olvidar;3
não há olvidar a;3
há olvidar a prevalência;3
olvidar a prevalência do;3
a prevalência do princípio;3
prevalência do princípio maior;3
do princípio maior que;3
princípio maior que norteia;3
maior que norteia as;3
que norteia as normas;3
norteia as normas atinentes;3
as normas atinentes ao;3
normas atinentes ao direito;3
atinentes ao direito posto;3
ao direito posto em;3
direito posto em liça;3
posto em liça qual;3
em liça qual seja;3
liça qual seja o;3
qual seja o bem;3
seja o bem estar;3
o bem estar dos;3
bem estar dos menores;3
estar dos menores situação;3
dos menores situação de;3
menores situação de fato;3
meio de medida protetiva;3
de medida protetiva em;3
medida protetiva em decorrência;3
protetiva em decorrência da;3
e da inviabilidade de;3
da inviabilidade de manutenção;3
inviabilidade de manutenção da;3
de manutenção da guarda;3
em família substituta pretendente;3
a mãe biológica ou;3
mãe biológica ou qualquer;3
biológica ou qualquer integrante;3
ou qualquer integrante da;3
qualquer integrante da sua;3
integrante da sua família;3
da sua família extensa;3
menor verificada situação de;3
manteve convivência com a;3
ao passo que não;3
passo que não manteve;3
que não manteve convivência;3
não manteve convivência com;3
lf de art lf;3
de art lf de;3
art lf de art;3
no processo de destituição;3
processo de destituição do;3
que a genitora não;2
cuidados com os filhos;2
é direito da criança;2
pela equipe técnica o;2
fortalecimento dos vínculos familiares;2
acolhimento institucional melhor interesse;2
institucional melhor interesse da;2
de instrumento medida protetiva;2
a medida de acolhimento;2
do poder familiar determinação;2
poder familiar determinação de;2
acolhimento institucional pretensão do;2
institucional pretensão do genitor;2
inexistem elementos suficientes a;2
elementos suficientes a autorizar;2
suficientes a autorizar a;2
a autorizar a reforma;2
autorizar a reforma da;2
do genitor com as;2
interesse da criança juízo;2
da criança juízo a;2
criança juízo a quo;2
juízo a quo observou;2
a quo observou devidamente;2
quo observou devidamente o;2
observou devidamente o caso;2
devidamente o caso concreto;2
o caso concreto motivo;2
caso concreto motivo pelo;2
concreto motivo pelo qual;2
motivo pelo qual deve;2
pelo qual deve ser;2
qual deve ser mantida;2
mantida a decisão que;2
a decisão que determinou;2
que determinou a suspensão;2
determinou a suspensão do;2
poder familiar e da;2
familiar e da convivência;2
medidas protetivas mantidas precedentes;2
protetivas mantidas precedentes decisão;2
mantidas precedentes decisão agravada;2
precedentes decisão agravada mantida;2
decisão agravada mantida recurso;2
agravada mantida recurso desprovido;2
do art do eca;2
criado e educado no;2
e educado no seio;2
da aplicação de medidas;2
no art do eca;2
decisão que determinou o;2
que determinou o acolhimento;2
determinou o acolhimento institucional;2
o acolhimento institucional da;2
os elementos de prova;2
condições de exercer os;2
de exercer os cuidados;2
exercer os cuidados da;2
histórico de uso de;2
ao menos por ora;2
dos vínculos familiares e;2
que a convivência com;2
pelo colegiado agravo interno;2
colegiado agravo interno desprovido;2
possibilidade de julgamento na;2
de julgamento na forma;2
julgamento na forma monocrática;2
na forma monocrática ausente;2
forma monocrática ausente prejuízo;2
monocrática ausente prejuízo tratando;2
ausente prejuízo tratando se;2
prejuízo tratando se de;2
tratando se de recurso;2
matéria autorizado estava o;2
autorizado estava o relator;2
estava o relator a;2
