;x
em conformidade com;3
conformidade com o;3
com o entendimento;3
o entendimento da;3
entendimento da câmara;3
decisão da relatora;3
da relatora chancelada;3
institucional pedido de;3
mantida caso dos;3
foi acolhida institucionalmente;3
o ministério público;3
ao longo da;3
sob os cuidados;3
a guarda da;3
cível eca destituição;3
na família extensa;3
a falta de;3
um desenvolvimento saudável;3
a destituição do;3
perda do poder;3
a manutenção da;3
que a criança;3
protetiva de acolhimento;3
acolhimento institucional preliminar;3
preliminar de nulidade;3
família substituta e;3
transitada em julgado;3
familiar decisão agravada;3
familiar e a;3
restauração da convivência;3
lado da família;3
da família biológica;3
qualquer indício de;3
indício de que;3
que o infante;3
de destituição de;3
destituição de poder;3
de poder familiar;3
criança em família;3
familiar pedido de;3
decisão que deferiu;3
das crianças em;3
em razão da;3
razão da negligência;3
da negligência familiar;3
constituição federal é;3
federal é dever;3
decisão mantida o;3
medida que melhor;3
melhor atende aos;3
convivência com o;3
em acolhimento institucional;3
descabimento manutenção da;3
ditames do eca;3
do eca priorizam;3
eca priorizam a;3
priorizam a proteção;3
a proteção à;3
proteção à infância;3
sendo adequada a;3
poder familiar com;3
família substituta respeitada;3
substituta respeitada a;3
respeitada a habilitação;3
a habilitação pelo;3
habilitação pelo cna;3
pelo cna direito;3
cna direito da;3
constituição federal que;3
federal que assegura;3
que assegura a;3
assegura a convivência;3
familiar agravo desprovido;3
a manutenção do;3
princípio da proteção;3
os cuidados dos;3
desde o seu;3
da criança que;3
de afinidade e;3
afinidade e afetividade;3
e afetividade entre;3
ação para aplicação;3
para aplicação de;3
pedido liminar de;3
pelo ministério público;3
inserção imediata no;3
imediata no rol;3
no rol de;3
rol de crianças;3
de crianças aptas;3
crianças aptas para;3
aptas para adoção;3
para adoção possibilidade;3
foi acolhido institucionalmente;3
familiar da mãe;3
a sua colocação;3
desde tenra idade;3
ação de aplicação;3
a guarda dos;3
família de origem;3
termos do artigo;3
do artigo do;3
rede de apoio;3
a guarda de;3
institucional e suspensão;3
e suspensão do;3
poder familiar determinado;3
familiar determinado pelo;3
determinado pelo juízo;3
de colocação em;3
embora não se;3
convivência familiar visto;3
familiar visto ser;3
visto ser um;3
ser um princípio;3
um princípio norteador;3
norteador da proteção;3
previsto no eca;3
no eca em;3
eca em seu;3
devem ser observados;3
ser observados primordialmente;3
com o objetivo;3
o objetivo de;3
objetivo de assegurar;3
de assegurar o;3
assegurar o seu;3
o seu bem;3
seu bem estar;3
sua colocação em;3
de desacolhimento institucional;3
além disso a;3
da genitora em;3
genitora em relação;3
da doutrina da;3
de vínculo afetivo;3
com as crianças;3
convivência e de;3
e de vínculos;3
cerceamento de defesa;3
caso concreto em;3
concreto em que;3
risco desde o;3
apelação cível processual;3
cível processual civil;3
processual civil citação;3
civil citação por;3
é válida a;3
a citação realizada;3
citação realizada por;3
realizada por edital;3
por edital tendo;3
edital tendo sido;3
tendo sido envidados;3
sido envidados todos;3
envidados todos os;3
todos os esforços;3
os esforços possíveis;3
esforços possíveis para;3
possíveis para localização;3
para localização da;3
localização da demandada;3
da demandada não;3
demandada não há;3
não há cogitar;3
há cogitar cerceamento;3
cogitar cerceamento de;3
defesa considerando que;3
nomeada curadora especial;3
curadora especial atuante;3
especial atuante no;3
atuante no feito;3
poder familiar prevalência;3
