"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"inserção";-2,592;2,107;-1,789;-1,789;0,782;2,728
"edital";-0,681;20,446;-0,47;-0,47;-0,641;-0,99
"dar";-0,324;-1,394;7,795;-0,042;-0,259;-0,028
"considerar";0,249;-1,234;-0,006;0,964;-1,749;0,751
"afetivo";-2,592;2,107;-1,789;5,262;2,89;-3,765
"abandono";-2,592;17,762;-1,789;-1,789;0,782;-0,254
"unânime";-0,483;-1,557;52,96;-1,619;-2,207;-3,407
"tentativa";-2,345;20,563;0,394;-1,619;-0,4;-1,197
"relação";0,122;-0,606;-0,63;-0,63;3,008;0
"razão";0,02;0,462;0,394;-0,104;-2,207;0,168
"prova";-2,345;-1,557;-0,104;2,489;-0,4;3,659
"proteger";-1,859;-1,234;9,585;-1,283;-1,749;2,9
"possível";2,913;-1,075;5,408;-1,117;-1,523;-0,411
"fato";-1,619;21,928;0,005;-1,117;-0,049;-2,352
"acolhido";-0,324;0,716;-1,45;3,214;-0,259;-0,028
"vulnerabilidade";-0,324;0,716;0,63;-0,042;1,653;-3,052
"visitação";-1,146;-0,761;-0,791;0,192;6,451;-0,057
"técnica";-0,324;-1,394;0,63;-1,45;0,151;2,003
"realizar";-0,681;7,786;-0,47;-0,47;0,536;-0,99
"provisório";-0,324;-1,394;-1,45;-0,042;1,653;2,003
"nulidade";-0,681;20,446;-0,47;-0,47;-0,641;-0,99
"impossibilidade";-0,324;3,458;-1,45;0,63;0,151;-0,915
"falta";-0,324;-1,394;-0,042;22,943;-1,977;-0,915
"especial";-0,078;21,928;0,005;-1,117;-1,523;-2,352
"equipa";0,096;-1,394;3,214;-1,45;-0,259;0,39
"desenvolvimento";0,096;-1,394;-1,45;3,214;-1,977;2,003
"decorrência";-2,101;24,01;-0,042;-0,042;-0,259;-3,052
"confirmar";-1,381;41,455;-0,953;-0,953;-1,3;-2,006
"concreto";-2,101;0,716;-1,45;-1,45;-0,259;8,977
"autorizar";-1,619;-1,075;-1,117;-1,117;-0,049;14,591
"ausência";-1,146;-0,761;3,121;-0,791;1,815;-0,057
"ausente";-1,146;0,226;-0,791;-0,791;1,815;0,659
"ambiente";-0,324;-1,394;-1,45;33,511;-1,977;-0,915
"reunir";-0,187;-1,234;-0,006;0,964;-0,139;0,751
"recorrente";-1,859;-1,234;4,157;-0,006;6,128;-2,7
"questão";-1,146;-0,761;0,192;-0,791;1,815;0,659
"possuir";-1,859;-1,234;-0,006;39,281;-1,749;-2,7
"observar";2,044;-1,234;-0,006;-0,006;-1,749;0,751
"neto";-0,187;-1,234;-1,283;17,248;0,332;-2,7
"negar";-1,859;-1,234;17,248;-1,283;2,328;-2,7
"ministério";0,931;-0,917;0,057;0,057;-1,3;0,257
"maior";-1,859;4,438;17,248;-1,283;-1,749;-2,7
"atendimento";2,736;-0,606;0,473;-0,63;0,163;-1,325
"apelação";-1,859;10,107;-1,283;-0,006;-0,139;0,001
"vez";4,756;-0,452;1,042;-0,47;-0,641;-0,99
"tio";-1,381;-0,917;-0,953;-0,953;10,402;0,257
"risco";-0,011;-0,917;-0,953;-0,953;18,633;-2,006
"retorno";-1,619;-1,075;0,005;-1,117;0,626;4,143
"processo";-1,619;1,565;-1,117;0,005;7,933;-2,352
"pretendente";-1,381;15,786;-0,953;-0,953;-0,002;-0,207
"presente";-1,619;-1,075;-1,117;-1,117;3,254;4,143
"preconizar";22,827;-0,761;-0,791;-0,791;-1,078;-1,664
"parental";-1,619;12,523;0,005;0,005;-1,523;-0,411
"mínimo";0,509;-1,075;-1,117;0,005;3,254;-0,411
"modo";13,018;-0,761;-0,791;-0,791;-1,078;-0,057
"menina";-1,619;-1,075;-1,117;20,982;-0,049;-0,411
"melhor";2,913;-1,075;0,005;-1,117;-1,523;1,307
"laudo";-1,619;-1,075;5,408;-1,117;-0,049;1,307
"irmão";-1,619;-1,075;1,435;0,005;7,933;-2,352
"histórico";0,01;-0,761;3,121;-0,791;0,024;-0,057
"evidenciar";0,931;-0,917;-0,953;15,085;-1,3;-2,006
"droga";-0,912;0,525;0,473;4,705;-0,859;-1,325
"curador";-1,146;34,388;-0,791;-0,791;-1,078;-1,664
"contato";-0,078;-1,075;5,408;-1,117;0,626;-0,411
"civil";0,122;4,961;-0,63;-0,63;-0,859;0
"cabimento";-1,619;-1,075;-1,117;-1,117;-1,523;22,203
"assumir";-1,619;0,011;-1,117;-1,117;14,663;-0,411
"seio";17,435;-0,917;-0,953;-0,953;-0,002;-2,006
"residir";-1,146;-0,761;-0,791;0,192;6,451;-0,057
"psicológico";-0,912;-0,606;0,473;0,473;3,008;-1,325
"próprio";-0,011;-0,917;2,113;2,113;-0,002;-2,006
"protetivas";-0,011;-0,917;-0,953;7,123;-1,3;0,257
"perda";-1,381;-0,917;0,057;0,057;4,554;-0,207
"núcleo";-0,011;-0,917;0,057;-0,953;4,554;-0,207
"novo";-1,146;-0,761;3,121;-0,791;6,451;-1,664
"mérito";-0,681;7,786;-0,47;-0,47;-0,641;0,127
"longo";-1,146;-0,761;19,561;-0,791;0,024;-1,664
"justificar";-1,146;0,226;-0,791;9,577;0,024;-1,664
"institucional";-1,381;-0,917;-0,953;-0,953;29,245;-2,006
"inserir";-1,381;27,101;-0,953;-0,953;-0,002;-2,006
"guardião";-1,381;15,786;-0,953;0,057;-0,002;-2,006
"criar";9,643;-0,917;-0,953;0,057;-1,3;-0,207
"cpc";-0,681;7,786;-0,47;-0,47;0,536;-0,99
"constatar";-1,381;-0,917;-0,953;2,113;10,402;-2,006
"atender";-0,011;-0,917;-0,953;-0,953;-1,3;11,499
"apelo";-1,381;27,101;-0,953;0,057;-1,3;-2,006
"acercar";-0,912;-0,606;13,327;-0,63;-0,859;0
"único";-1,146;-0,761;-0,791;-0,791;24,259;-1,664
"visar";0,01;-0,761;-0,791;0,192;0,024;0,659
"tutelar";-1,146;-0,761;9,577;-0,791;0,024;-0,057
"trato";-0,912;13,915;-0,63;-0,63;0,163;-1,325
"tenro";5,946;3,321;-0,791;-0,791;-1,078;-1,664
"suspenso";-1,146;-0,761;-0,791;3,121;0,024;0,659
"superar";-0,681;-0,452;-0,47;-0,47;14,424;-0,99
"suficiente";-1,146;-0,761;-0,791;0,192;0,024;3,469
"saudável";0,01;-0,761;-0,791;0,192;-1,078;3,469
"restabelecimento";0,01;-0,761;-0,791;3,121;1,815;-1,664
"relatório";-1,146;-0,761;33,072;-0,791;-1,078;-1,664
"recomendar";1,61;-0,761;-0,791;-0,791;0,024;0,659
"probatório";-0,912;-0,606;-0,63;0,473;3,008;0
"permitir";1,61;-0,761;0,192;-0,791;-1,078;0,659
"norteador";22,827;-0,761;-0,791;-0,791;-1,078;-1,664
"mau";-0,912;13,915;-0,63;-0,63;0,163;-1,325
"instituição";1,61;-0,761;0,192;0,192;0,024;-1,664
"inexistência";-1,146;-0,761;-0,791;-0,791;13,933;-0,057
"indicar";-1,146;-0,761;3,121;0,192;-1,078;0,659
"ignorar";1,61;-0,761;-0,791;0,192;1,815;-1,664
"grave";0,01;-0,761;-0,791;0,192;6,451;-1,664
"filial";-1,146;-0,761;0,192;0,192;0,024;0,659
"excepcional";5,946;-0,761;-0,791;-0,791;0,024;-0,057
"episódio";-1,146;-0,761;19,561;-0,791;-1,078;-0,057
"emocional";-0,912;-0,606;0,473;-0,63;0,163;1,424
"efeito";-0,681;-0,452;-0,47;1,042;-0,641;2,911
"educado";22,827;-0,761;-0,791;-0,791;-1,078;-1,664
"demanda";-1,146;-0,761;0,192;9,577;0,024;-1,664
"deferir";-1,146;-0,761;0,192;-0,791;-1,078;8,487
"convívio";-1,146;-0,761;3,121;-0,791;-1,078;3,469
"contar";-0,912;-0,606;-0,63;4,705;0,163;0
"conflito";-1,146;-0,761;3,121;-0,791;0,024;0,659
"cna";5,946;-0,761;-0,791;-0,791;0,024;-0,057
"casal";-0,681;-0,452;7,44;-0,47;0,536;-0,99
"assunto";0,01;3,321;0,192;-0,791;0,024;-1,664
"aproximação";-1,146;-0,761;0,192;-0,791;-1,078;8,487
"adequado";0,01;-0,761;-0,791;9,577;-1,078;-0,057
"vista";0,122;-0,606;0,473;0,473;0,163;-1,325
"vir";-0,912;-0,606;13,327;-0,63;-0,859;0
"violação";-0,681;-0,452;1,042;-0,47;0,536;0,127
"vinculação";-0,912;0,525;-0,63;0,473;3,008;-1,325
"tutela";2,736;-0,606;-0,63;-0,63;0,163;0
"transitar";0,459;-0,452;-0,47;-0,47;0,536;0,127
"termo";2,736;4,961;-0,63;-0,63;-0,859;-1,325
"suspender";0,122;-0,606;-0,63;0,473;-0,859;1,424
"sofrer";-0,912;4,961;4,705;-0,63;-0,859;-1,325
"sentido";0,122;-0,606;-0,63;0,473;-0,859;1,424
"ré";-0,912;-0,606;-0,63;13,327;0,163;-1,325
"retornar";2,736;-0,606;-0,63;0,473;-0,859;0
"referência";2,736;4,961;-0,63;-0,63;-0,859;-1,325
"rede";-0,681;7,786;1,042;-0,47;-0,641;-0,99
"quo";-0,912;0,525;-0,63;-0,63;-0,859;5,595
"pátrio";-0,681;1,121;1,042;-0,47;0,536;-0,99
"programa";-0,912;-0,606;0,473;-0,63;0,163;1,424
"produzir";-0,912;-0,606;-0,63;13,327;-0,859;0
"procedimento";-0,912;-0,606;-0,63;0,473;-0,859;5,595
"postular";-0,912;0,525;-0,63;4,705;-0,859;0
"posto";-0,912;27,386;-0,63;-0,63;-0,859;-1,325
"período";0,122;-0,606;4,705;0,473;-0,859;-1,325
"objectivo";2,736;-0,606;-0,63;0,473;-0,859;0
"norma";0,122;13,915;-0,63;-0,63;-0,859;-1,325
"necessário";0,122;-0,606;0,473;-0,63;0,163;0
"necessidade";-0,912;4,961;0,473;-0,63;0,163;-1,325
"narrar";-0,681;-0,452;1,042;-0,47;0,536;0,127
"mês";-0,912;-0,606;-0,63;4,705;0,163;0
"menino";2,736;0,525;-0,63;-0,63;0,163;-1,325
"local";-0,681;1,121;-0,47;-0,47;5,13;-0,99
"legal";-0,912;4,961;0,473;-0,63;-0,859;0
"lado";-0,912;-0,606;-0,63;0,473;0,163;1,424
"junto";4,756;-0,452;-0,47;1,042;-0,641;-0,99
"infância";8,755;-0,606;0,473;-0,63;-0,859;-1,325
"inexistir";-0,912;-0,606;-0,63;-0,63;-0,859;12,514
"indício";8,755;-0,606;-0,63;-0,63;0,163;-1,325
"indeferir";-0,681;-0,452;1,042;-0,47;-0,641;2,911
"grau";-0,912;-0,606;0,473;-0,63;3,008;0
"físico";-0,912;-0,606;-0,63;-0,63;3,008;1,424
"formação";-0,912;-0,606;0,473;-0,63;-0,859;5,595
"extenso";13,572;-0,452;-0,47;-0,47;-0,641;-0,99
"existência";-0,681;-0,452;1,042;-0,47;5,13;-0,99
"exame";-0,912;-0,606;-0,63;-0,63;0,163;5,595
"doutrina";18,178;-0,606;-0,63;-0,63;-0,859;-1,325
"diverso";-0,681;-0,452;7,44;-0,47;0,536;-0,99
"devido";-0,912;-0,606;0,473;4,705;0,163;-1,325
"determinação";0,122;-0,606;-0,63;-0,63;-0,859;5,595
"destituir";-0,912;-0,606;-0,63;-0,63;9,394;0
"desenvolver";-0,912;13,915;0,473;-0,63;-0,859;-1,325
"consolidado";-0,912;13,915;-0,63;0,473;-0,859;-1,325
"conselho";-0,912;-0,606;13,327;-0,63;0,163;-1,325
"comprovar";-0,912;-0,606;-0,63;0,473;9,394;-1,325
"comarca";-0,681;-0,452;1,042;-0,47;0,536;0,127
"colocar";-0,912;-0,606;26,337;-0,63;-0,859;-1,325
"benefício";-0,912;-0,606;13,327;-0,63;-0,859;0
"avaliação";-0,912;0,525;0,473;0,473;0,163;-1,325
"atual";-0,912;-0,606;-0,63;4,705;0,163;0
"aptar";-0,912;-0,606;-0,63;-0,63;-0,859;12,514
"afastamento";-0,912;0,525;-0,63;-0,63;0,163;1,424
"viver";-0,681;-0,452;-0,47;19,663;-0,641;-0,99
"usuário";-0,681;1,121;-0,47;7,44;-0,641;-0,99
"tramitação";-0,681;-0,452;7,44;1,042;-0,641;-0,99
"solução";0,459;-0,452;7,44;-0,47;-0,641;-0,99
"sogro";-0,681;-0,452;1,042;7,44;-0,641;-0,99
"rol";-0,681;-0,452;-0,47;-0,47;-0,641;9,343
"restauração";-0,681;-0,452;-0,47;-0,47;0,536;2,911
"respeitado";13,572;-0,452;-0,47;-0,47;-0,641;-0,99
"requerido";-0,681;7,786;-0,47;-0,47;-0,641;0,127
"reintegração";13,572;-0,452;-0,47;-0,47;-0,641;-0,99
"redução";0,459;-0,452;-0,47;-0,47;-0,641;2,911
"recorrido";-0,681;1,121;1,042;-0,47;-0,641;0,127
"recomendado";-0,681;1,121;-0,47;-0,47;-0,641;2,911
"receber";-0,681;-0,452;-0,47;-0,47;0,536;2,911
"psíquico";-0,681;-0,452;-0,47;-0,47;14,424;-0,99
"proporcionar";-0,681;-0,452;1,042;7,44;-0,641;-0,99
"promover";-0,681;-0,452;-0,47;7,44;-0,641;0,127
"priorizam";13,572;-0,452;-0,47;-0,47;-0,641;-0,99
"prioritário";4,756;-0,452;-0,47;-0,47;0,536;-0,99
"prevalecer";0,459;1,121;-0,47;-0,47;-0,641;0,127
"preservação";13,572;-0,452;-0,47;-0,47;-0,641;-0,99
"ppa";-0,681;-0,452;-0,47;-0,47;-0,641;9,343
"posterior";-0,681;-0,452;-0,47;-0,47;0,536;2,911
"pessoal";-0,681;7,786;-0,47;-0,47;-0,641;0,127
"pessoa";-0,681;-0,452;7,44;1,042;-0,641;-0,99
"perspectiva";4,756;-0,452;-0,47;-0,47;0,536;-0,99
"perpetrar";-0,681;1,121;-0,47;-0,47;0,536;0,127
"permanecer";0,459;-0,452;1,042;-0,47;0,536;-0,99
"passo";-0,681;20,446;-0,47;-0,47;-0,641;-0,99
"parente";-0,681;-0,452;1,042;-0,47;5,13;-0,99
"olvidar";-0,681;20,446;-0,47;-0,47;-0,641;-0,99
"oferecer";-0,681;7,786;-0,47;-0,47;-0,641;0,127
"observância";0,459;-0,452;-0,47;-0,47;0,536;0,127
"nortear";-0,681;20,446;-0,47;-0,47;-0,641;-0,99
"nomear";-0,681;20,446;-0,47;-0,47;-0,641;-0,99
"nascer";-0,681;-0,452;1,042;7,44;-0,641;-0,99
"nacional";0,459;-0,452;-0,47;-0,47;-0,641;2,911
"mudança";-0,681;-0,452;1,042;-0,47;-0,641;2,911
"motivo";-0,681;-0,452;-0,47;-0,47;0,536;2,911
"manifestar";-0,681;-0,452;1,042;1,042;-0,641;0,127
"liça";-0,681;20,446;-0,47;-0,47;-0,641;-0,99
"interessado";-0,681;-0,452;-0,47;-0,47;5,13;0,127
"integrante";-0,681;20,446;-0,47;-0,47;-0,641;-0,99
"informar";-0,681;-0,452;7,44;-0,47;-0,641;0,127
"indeferimento";-0,681;-0,452;-0,47;-0,47;5,13;0,127
"inclusão";-0,681;-0,452;-0,47;-0,47;-0,641;9,343
"inc";4,756;-0,452;-0,47;-0,47;0,536;-0,99
"habilitação";13,572;-0,452;-0,47;-0,47;-0,641;-0,99
"habilitado";-0,681;1,121;-0,47;-0,47;-0,641;2,911
"fundamental";0,459;-0,452;-0,47;-0,47;5,13;-0,99
"expor";0,459;-0,452;1,042;-0,47;0,536;-0,99
"evidente";-0,681;-0,452;-0,47;-0,47;5,13;0,127
"estímulo";0,459;-0,452;-0,47;1,042;0,536;-0,99
"estágio";-0,681;-0,452;-0,47;-0,47;5,13;0,127
"estudo";-0,681;-0,452;-0,47;-0,47;5,13;0,127
"drástico";-0,681;-0,452;-0,47;-0,47;5,13;0,127
"ditame";13,572;-0,452;-0,47;-0,47;-0,641;-0,99
"dificuldade";-0,681;-0,452;-0,47;1,042;5,13;-0,99
"desejo";-0,681;-0,452;1,042;-0,47;0,536;0,127
"denotar";-0,681;-0,452;1,042;-0,47;5,13;-0,99
"decorrente";-0,681;1,121;-0,47;-0,47;0,536;0,127
"dano";0,459;1,121;-0,47;-0,47;0,536;-0,99
"cotejo";-0,681;20,446;-0,47;-0,47;-0,641;-0,99
"contraindica";-0,681;-0,452;7,44;-0,47;-0,641;0,127
"comportamento";-0,681;1,121;1,042;-0,47;-0,641;0,127
"causar";-0,681;-0,452;-0,47;-0,47;5,13;0,127
"busca";-0,681;-0,452;1,042;-0,47;0,536;0,127
"auxílio";-0,681;7,786;1,042;-0,47;-0,641;-0,99
"autorização";-0,681;-0,452;-0,47;-0,47;0,536;2,911
"autor";-0,681;7,786;-0,47;-0,47;0,536;-0,99
"atuante";-0,681;20,446;-0,47;-0,47;-0,641;-0,99
"atinente";-0,681;20,446;-0,47;-0,47;-0,641;-0,99
"apto";-0,681;-0,452;-0,47;-0,47;5,13;0,127
"alto";-0,681;-0,452;-0,47;19,663;-0,641;-0,99
"alimento";0,459;-0,452;-0,47;-0,47;-0,641;2,911
"ajuizado";-0,681;-0,452;-0,47;-0,47;-0,641;9,343
"afinidade";-0,681;-0,452;-0,47;-0,47;14,424;-0,99
"afetividade";-0,681;-0,452;-0,47;-0,47;14,424;-0,99
"acordo";0,459;-0,452;-0,47;7,44;-0,641;-0,99
"abuso";-0,681;1,121;1,042;-0,47;0,536;-0,99
"abrigamento";-0,681;-0,452;1,042;1,042;-0,641;0,127
"de";0,452;0,3;0,312;0,312;0,425;-6,201
"a";-0,72;-4,3;7,302;4,774;-0,316;-0,985
"em";-0,488;-1,598;0,051;-0,462;3,736;0,072
"o";-0,158;0,119;-0,182;-0,757;0,947;0,066
"que";-0,386;0,397;0,542;2,679;-2,719;-0,128
"ser";31,389;-4,144;1,026;-0,033;-4,902;-4,637
"por";-1,498;3,116;0,143;-0,178;0,701;-0,962
"com";-0,948;1,376;-0,375;1,973;0;-0,456
"ao";0,015;0,284;-0,002;-0,002;-0,853;0,13
"não";-2,201;1,443;-3,614;7,49;3,085;-3,286
"para";-0,081;0,004;-0,002;-0,002;-1,791;2,12
"se";-0,081;-3,27;-3,579;10,15;5,727;-2,149
"ir";-0,129;2,96;0,001;0,001;-2,667;0,146
"sua";2,77;0;-0,428;-0,007;-0,041;-0,525
"estar";-0,257;0,941;-0,054;6,428;-0,137;-3,229
"seu";2,121;-0,005;-0,593;0,248;-0,451;-0,201
"haver";-0,84;1,21;0,103;0,103;1,145;-2,205
"como";0,201;-0,949;3,492;-0,088;1,463;-3,813
"todo";0,096;0,716;0,63;-0,042;-0,259;-0,915
"poder";1,518;0,361;1,63;-0,895;0,001;-3,462
"um";0,891;-1,087;0,103;1,05;-2,131;0,035
"ter";-3,86;-0,686;-0,012;0,426;4,836;0,002
"ele";-0,483;-1,557;12,093;0,394;-0,4;-1,197
"desde";-1,898;26,109;-0,895;-0,042;-1,7;-0,474
"sob";-0,079;0,073;1,116;-0,387;0,308;-0,626
"qualquer";3,295;2,701;-1,619;-0,104;0,049;-3,407
"qual";-0,266;2,685;-0,627;2,442;-1,291;-0,18
"estado";35,857;-1,886;-1,961;-1,961;-0,727;-1,801
"uma";-0,657;-1,72;1,921;0,229;2,89;-1,493
"outro";0;0,281;-0,185;0,229;-0,557;0,046
"fim";0,958;-1,557;-1,619;-0,104;0,049;1,348
"sem";0,958;-1,557;0,394;2,489;0,049;-3,407
"fazer";-0,187;4,438;-0,006;0,964;-1,749;-0,651
"entre";-2,101;-0,028;-0,042;0,63;9,488;-3,052
"mais";-0,187;-1,234;0,964;4,157;0,332;-2,7
"c";-0,681;-0,452;-0,47;1,042;-0,641;2,911
"quanto";-0,078;-1,075;-1,117;5,408;0,626;-0,411
"i";0,509;1,565;-1,117;-1,117;-1,523;1,307
"após";-1,381;0,076;0,057;0,057;1,087;-0,207
"ver";1,61;-0,761;-0,791;-0,791;0,024;0,659
"tal";-1,146;-0,761;0,192;-0,791;6,451;-0,057
"sobre";0,01;0,226;3,121;-0,791;-1,078;-0,057
"lhe";8,755;-0,606;0,473;-0,63;-0,859;-1,325
"dois";0,931;0,076;-0,953;2,113;-0,002;-2,006
"ambos";-1,146;0,226;3,121;-0,791;1,815;-1,664
"parte";0,122;0,525;0,473;0,473;-0,859;-1,325
"ela";-1,146;0,226;9,577;0,192;-1,078;-1,664
